"Name","Location","Function Signature","Function Size"
"gpio_tree_setclr","0000c920","void gpio_tree_setclr(int param_1\, int param_2\, int param_3)","240"
"ssp_setup_maybe","0000ca10","undefined ssp_setup_maybe()","328"
"FUN_0000cb74","0000cb74","undefined FUN_0000cb74()","344"
"FUN_0000cccc","0000cccc","undefined FUN_0000cccc()","230"
"ssp_tx","0000cdb2","void ssp_tx(int param_1\, byte * param_2\, uint param_3)","120"
"ssp_rx_bytes","0000ce2a","void ssp_rx_bytes(int param_1\, undefined * param_2\, uint param_3)","108"
"FUN_0000ce96","0000ce96","undefined FUN_0000ce96()","24"
"FUN_0000ceae","0000ceae","undefined FUN_0000ceae()","22"
"ssp0_txbyte","0000cee0","void ssp0_txbyte(undefined4 param_1)","34"
"FUN_0000cf02","0000cf02","undefined FUN_0000cf02()","80"
"sflash_rd_status","0000cf52","undefined sflash_rd_status(void)","70"
"FUN_0000cf98","0000cf98","undefined FUN_0000cf98()","52"
"sflash_erase_4k","0000cfcc","undefined sflash_erase_4k()","84"
"FUN_0000d020","0000d020","undefined FUN_0000d020()","84"
"FUN_0000d074","0000d074","undefined FUN_0000d074()","28"
"sflash_read_page","0000d090","undefined sflash_read_page()","120"
"sflash_program","0000d108","undefined sflash_program()","108"
"FUN_0000d174","0000d174","undefined FUN_0000d174()","1"
"FUN_0000d23c","0000d23c","undefined FUN_0000d23c()","1"
"FUN_0000d27a","0000d27a","undefined FUN_0000d27a()","60"
"sflash_init","0000d2b2","undefined sflash_init()","16"
"adc_something_1","0000d2c4","undefined adc_something_1()","52"
"adc_something_2","0000d384","undefined adc_something_2()","24"
"adc_something_3","0000d39c","undefined adc_something_3()","36"
"adc_get_result","0000d3c0","undefined adc_get_result()","12"
"adc_ch_is_done","0000d3cc","undefined adc_ch_is_done(undefined4 adcbase\, undefined4 paramn\, undefined4 done_overrunb)","26"
"gpio_cfg_from_table","0000d448","void gpio_cfg_from_table(enum gpio param_1\, int param_2)","66"
"gpio_set_from_table","0000d48a","void gpio_set_from_table(enum gpio param_1\, int param_2)","22"
"gpio_cfg_from_table_0_1","0000d4a0","undefined gpio_cfg_from_table_0_1()","20"
"FUN_0000d4d2","0000d4d2","undefined FUN_0000d4d2()","40"
"FUN_0000d4fa","0000d4fa","undefined FUN_0000d4fa()","40"
"FUN_0000d522","0000d522","undefined FUN_0000d522()","54"
"FUN_0000d558","0000d558","undefined FUN_0000d558()","66"
"FUN_0000d59a","0000d59a","undefined FUN_0000d59a()","54"
"FUN_0000d5d4","0000d5d4","undefined FUN_0000d5d4()","12"
"FUN_0000d606","0000d606","undefined FUN_0000d606()","36"
"FUN_0000d62a","0000d62a","undefined FUN_0000d62a()","66"
"FUN_0000d648","0000d648","undefined FUN_0000d648()","14"
"FUN_0000d660","0000d660","undefined FUN_0000d660()","1"
"FUN_0000d67a","0000d67a","undefined FUN_0000d67a()","24"
"EMC_PwrOn","0000d692","undefined EMC_PwrOn()","44"
"FUN_0000d6be","0000d6be","undefined FUN_0000d6be()","1"
"EMC_SetStaMemoryParameter","0000db64","undefined EMC_SetStaMemoryParameter()","210"
"FUN_0000dc4e","0000dc4e","undefined FUN_0000dc4e()","64"
"EMC_StaMemConfigPB","0000dc8e","undefined EMC_StaMemConfigPB()","64"
"FUN_0000dcce","0000dcce","undefined FUN_0000dcce()","64"
"EMC_StaMemConfigMW","0000dd0e","undefined EMC_StaMemConfigMW()","82"
